starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 27 20:36:00 2026	1774640160	131	1155	1287	1155
Fri Mar 27 20:34:14 2026	1774640054	119	1167	1287	1167
Fri Mar 27 20:32:50 2026	1774639970	131	1155	1287	1155
Fri Mar 27 20:32:28 2026	1774639948	127	1160	1287	1160
Fri Mar 27 20:32:28 2026	1774639948	127	1160	1287	1160
Fri Mar 27 20:34:03 2026	1774640043	133	1154	1287	1154
Fri Mar 27 20:34:21 2026	1774640061	122	1165	1287	1165
Fri Mar 27 20:34:47 2026	1774640087	153	1134	1287	1134
Fri Mar 27 20:34:47 2026	1774640087	143	1145	1287	1145
Fri Mar 27 20:32:36 2026	1774639956	127	1161	1287	1160
